pclass,sex,age,sibsp,parch,fare,embarked,survived
2,male,47.0,0,0,15.0,S,0
3,male,,0,0,8.7125,C,0
1,male,,0,0,26.2875,S,1
3,male,,1,1,20.525,S,0
3,male,,1,1,15.9,,1
3,male,,0,0,24.963864541576374,S,1
3,male,40.0,1,4,27.9,,0
3,male,,0,0,7.2292,C,1
1,male,,0,0,26.55,S,1
3,male,,0,0,7.8292,Q,0
3,male,59.0,0,0,7.25,,0
2,male,34.0,0,0,13.0,S,0
3,female,18.0,0,1,9.35,S,1
1,female,22.0,0,0,,S,1
3,male,61.0,0,0,,S,0
3,male,40.0,0,0,7.8958,S,0
1,male,,0,0,42.4,S,0
1,male,23.0,0,1,63.3583,C,1
1,female,45.0,1,1,164.8667,S,1
3,female,,0,0,7.7375,Q,1
2,male,,0,0,55.88238043899892,S,0
3,male,20.0,0,0,7.2292,C,1
3,male,36.0,0,0,0.0,S,0
3,male,,0,0,7.225,,0
2,female,40.0,1,1,39.0,S,1
3,male,16.0,0,0,8.05,,1
3,female,,0,0,7.7333,Q,1
2,male,184.51501735871508,0,0,26.0,S,0
2,female,31.0,1,1,26.25,S,1
3,male,26.0,1,0,7.8542,S,0
2,female,40.0,0,0,15.75,S,1
3,male,23.0,0,0,7.8958,S,0
3,female,4.0,1,1,16.7,S,1
3,male,65.0,0,0,,Q,0
3,male,,0,0,7.8958,,0
3,female,,1,0,14.4542,C,0
3,male,47.0,0,0,9.0,S,0
1,female,50.0,0,0,28.7125,C,0
1,female,44.0,0,0,,,1
2,male,,0,0,0.0,S,0
2,male,24.0,0,0,40.47962800777008,S,0
1,male,,1,1,386.63872317714754,S,0
3,male,,0,0,7.8958,S,0
2,male,57.0,0,0,12.35,Q,0
1,male,65.0,0,1,61.9792,C,0
3,female,,0,0,7.8792,Q,1
2,male,18.0,0,0,11.5,S,0
2,female,,0,0,13.0,,1
3,male,30.0,0,0,7.8958,S,0
3,male,,0,0,7.8958,S,0
1,male,62.083745009698895,0,0,,S,0
1,female,38.0,0,0,227.525,C,1
3,male,20.0,1,0,7.925,S,1
2,male,,0,0,10.5,,1
3,male,16.0,1,3,34.375,S,0
3,male,4.0,4,2,,S,0
1,male,40.0,0,0,27.7208,C,0
1,male,,0,0,29.7,C,1
2,male,35.0,0,0,10.5,S,0
2,female,3.0,1,2,41.5792,,1
3,male,19.0,0,0,,S,0
3,male,,0,0,,S,0
3,male,28.0,0,0,22.525,S,0
2,male,,0,0,13.8625,C,1
3,male,,0,0,8.1583,S,0
3,male,,0,0,7.25,S,0
2,male,23.0,0,0,10.5,S,0
1,male,64.0,0,0,26.0,S,0
1,male,39.0,0,0,0.0,S,0
1,male,,0,0,26.738790757011063,S,1
3,male,24.0,0,0,9.5,S,0
1,male,61.0,0,0,33.5,S,0
1,male,60.0,0,0,,S,0
3,male,,0,0,6.924398777352536,C,1
3,male,20.0,0,0,9.225,S,0
1,female,30.0,0,0,86.5,S,1
1,male,35.0,0,0,26.55,C,1
3,male,18.918392643015874,1,0,8.624176487865872,S,1
1,male,,0,0,115.84383303482788,,1
1,female,35.0,0,0,512.3292,C,1
3,male,,0,0,7.8958,S,0
1,female,30.0,0,0,56.9292,C,1
3,female,29.0,1,1,10.4625,S,0
3,female,18.0,0,1,14.4542,C,0
2,male,,1,1,26.0,S,1
3,male,26.0,1,0,14.4542,C,0
3,female,63.0,0,0,9.5875,S,1
2,male,31.0,0,0,10.5,S,0
3,male,34.0,0,0,28.388390900165348,S,0
3,male,32.0,0,0,7.8542,S,1
3,male,29.0,0,0,7.75,Q,1
1,male,,0,0,,S,0
3,male,20.0,1,1,15.7417,,1
3,male,34.0,0,0,8.05,S,0
3,male,,0,0,8.05,,0
1,male,47.0,0,0,52.0,S,0
1,male,,0,2,81.8583,S,1
2,male,19.0,1,1,36.75,S,0
3,male,,0,0,,S,0
3,female,,0,0,7.649797011306048,Q,1
3,male,,0,0,7.8958,S,0
1,male,,0,0,50.4958,S,0
2,female,22.0,1,2,41.5792,C,1
2,female,158.27128670322858,1,1,32.5,S,1
3,male,,0,0,8.05,S,0
1,female,35.0,1,0,225.3121569427909,S,1
3,male,44.0,0,0,,,1
1,male,,0,0,25.925,S,0
3,male,,0,0,9.5,S,1
3,male,,1,1,24.15,S,0
3,female,20.0,1,0,9.825,S,0
1,male,65.0,0,0,26.55,S,0
1,female,,1,0,78.2667,,1
2,male,36.0,1,2,27.75,S,0
1,male,,0,0,135.58664478969547,S,0
3,male,24.0,0,0,7.8958,S,0
3,male,28.0,2,0,7.925,S,0
3,male,32.0,0,0,24.78950059374664,S,0
3,male,28.0,0,0,7.8958,S,0
3,male,43.0,0,0,8.05,S,0
1,male,,0,0,,S,0
3,female,3.0,3,1,21.075,S,0
3,male,26.0,0,0,7.8958,S,0
3,male,,0,0,,Q,0
1,female,81.03780194152606,1,0,57.0,S,1
3,male,,1,0,24.15,,0
1,male,49.0,1,0,56.9292,C,1
1,male,47.0,0,0,38.5,S,0
1,male,54.0,0,0,51.8625,S,0
3,male,,4,1,39.6875,,0
1,male,,0,0,79.2,C,0
3,male,8.0,4,1,29.125,Q,0
3,male,,0,0,,S,0
3,female,8.0,3,1,21.075,S,0
3,male,84.43816453817776,0,0,7.7958,S,1
3,male,,1,0,15.5,Q,0
3,male,28.0,0,0,9.5,S,0
2,female,,2,3,18.75,,1
2,female,19.0,1,0,26.0,S,1
1,female,44.0,0,1,57.9792,C,1
2,male,18.0,0,0,11.5,S,0
1,female,32.0,0,0,76.2917,C,1
3,male,25.0,0,0,7.25,S,0
2,female,34.0,0,0,10.5,S,1
3,male,,0,0,8.05,S,0
3,male,,4,1,29.125,Q,0
1,male,45.5,0,0,28.5,S,0
3,male,40.5,0,0,7.75,Q,0
3,female,23.0,0,0,7.925,S,0
3,female,29.0,0,2,15.2458,C,1
1,female,33.0,1,0,53.1,S,1
1,male,,0,0,26.0,S,0
2,male,52.0,0,0,13.5,S,0
3,male,,2,0,23.25,Q,1
3,female,15.0,0,0,7.225,C,1
3,male,,0,0,,,0
2,female,,1,0,,,1
3,male,24.0,0,0,7.05,S,0
3,male,70.5,0,0,7.75,Q,0
3,male,,0,0,8.05,S,0
3,male,,3,1,25.4667,S,0
3,male,19.0,0,0,10.1708,S,0
3,female,39.0,1,5,31.275,,0
3,male,,4,1,39.6875,,0
2,male,19.0,0,0,10.5,,0
3,male,29.0,1,0,7.0458,S,0
3,male,9.0,4,2,31.3875,S,0
2,male,16.0,0,0,26.0,S,0
3,female,21.0,1,0,,S,0
1,female,19.0,0,0,30.0,S,1
1,female,84.74263081039521,1,0,227.525,C,1
2,male,,1,0,26.0,S,0
3,male,,0,0,7.75,,0
3,female,,0,0,7.8792,Q,1
2,male,,0,0,12.875,C,0
3,female,24.0,0,2,16.7,S,1
2,female,,1,0,26.0,S,1
2,female,36.0,0,0,13.0,S,1
1,female,19.0,0,2,26.2833,S,1
3,female,43.0,1,6,46.9,S,0
